record_id_1,record_id_2,true_agent_id_1,true_agent_id_2,is_true_match,similarity_score,pair_key,splink_score,final_score,decision
REC00041,REC00042,354453fa,354453fa,1,0.8163,REC00041_REC00042,0.9999995678136094,0.9265,LLM_REVIEW
REC00183,REC00455,2bfd4d1b,c578d16e,0,0.8592,REC00183_REC00455,0.0,0.3437,KEEP_SEPARATE
REC00019,REC00149,3f5b2c93,652786fd,0,0.7656,REC00019_REC00149,0.0,0.3062,KEEP_SEPARATE
REC00264,REC00266,2c1e48e2,2c1e48e2,1,0.9498,REC00264_REC00266,0.9999992316688973,0.9799,AUTO_MERGE
REC00004,REC00100,06093853,69958d9c,0,0.9783,REC00004_REC00100,0.0,0.3913,KEEP_SEPARATE
REC00211,REC00214,957fe149,957fe149,1,0.9903,REC00211_REC00214,0.9999992316688973,0.9961,AUTO_MERGE
REC00089,REC00472,fbcca6e5,69727934,0,0.7612,REC00089_REC00472,0.0,0.3045,KEEP_SEPARATE
REC00199,REC00202,2f145e59,2f145e59,1,1.0,REC00199_REC00202,0.9999999590301977,1.0,AUTO_MERGE
REC00101,REC00358,6fd09bcc,c6e4d4b4,0,0.9536,REC00101_REC00358,0.0,0.3814,KEEP_SEPARATE
REC00151,REC00229,652786fd,7700fe54,0,0.7943,REC00151_REC00229,0.0,0.3177,KEEP_SEPARATE
REC00126,REC00343,04d2ce15,d1703276,0,0.8709,REC00126_REC00343,0.0,0.3484,KEEP_SEPARATE
REC00348,REC00429,bbdfca38,cef5fc37,0,0.6579,REC00348_REC00429,0.0,0.2632,KEEP_SEPARATE
REC00220,REC00372,3ab28108,e501dc73,0,0.8826,REC00220_REC00372,0.0,0.353,KEEP_SEPARATE
REC00044,REC00435,5ec5dc25,d8a8860c,0,0.8046,REC00044_REC00435,0.0,0.3218,KEEP_SEPARATE
REC00125,REC00344,04d2ce15,d1703276,0,0.8716,REC00125_REC00344,0.0,0.3486,KEEP_SEPARATE
REC00188,REC00354,3270c37b,0ee9817e,0,0.5871,REC00188_REC00354,0.0,0.2348,KEEP_SEPARATE
REC00163,REC00284,1a5a8d11,e0e6ff54,0,0.6303,REC00163_REC00284,0.0,0.2521,KEEP_SEPARATE
REC00102,REC00144,6fd09bcc,35dcb509,0,0.7226,REC00102_REC00144,0.0,0.289,KEEP_SEPARATE
REC00001,REC00002,a5eaf10f,a5eaf10f,1,0.8364,REC00001_REC00002,0.9996539833713629,0.9344,LLM_REVIEW
REC00286,REC00287,eb033fe8,dcbf7c8b,0,0.8489,REC00286_REC00287,0.0,0.3396,KEEP_SEPARATE
REC00174,REC00175,3870904a,3870904a,1,0.9805,REC00174_REC00175,0.9997483924577089,0.992,AUTO_MERGE
REC00051,REC00052,9da901bf,9da901bf,1,0.7987,REC00051_REC00052,0.9999998079171136,0.9195,LLM_REVIEW
REC00342,REC00382,1ead61bd,ecb338a9,0,0.8773,REC00342_REC00382,0.0,0.3509,KEEP_SEPARATE
REC00019,REC00229,3f5b2c93,7700fe54,0,0.7763,REC00019_REC00229,0.0,0.3105,KEEP_SEPARATE
REC00111,REC00154,0bb60a42,b280c279,0,0.7385,REC00111_REC00154,0.0,0.2954,KEEP_SEPARATE
REC00030,REC00420,93f3392b,27c3070c,0,0.6423,REC00030_REC00420,0.0,0.2569,KEEP_SEPARATE
REC00132,REC00133,705a43fe,705a43fe,1,0.9908,REC00132_REC00133,0.9997483924577089,0.9962,AUTO_MERGE
REC00265,REC00408,2c1e48e2,a8d6c0ca,0,0.8494,REC00265_REC00408,0.0,0.3398,KEEP_SEPARATE
REC00223,REC00225,a66dc66f,a66dc66f,1,0.9746,REC00223_REC00225,0.9999992316688973,0.9898,AUTO_MERGE
REC00216,REC00484,dbb0963b,ec78a5f8,0,0.8699,REC00216_REC00484,0.0,0.348,KEEP_SEPARATE
REC00205,REC00413,9d89a813,bef634c3,0,0.8245,REC00205_REC00413,0.0,0.3298,KEEP_SEPARATE
REC00026,REC00027,9cb8e085,9cb8e085,1,0.7366,REC00026_REC00027,0.9514530883162187,0.8655,LLM_REVIEW
REC00219,REC00222,3ab28108,3ab28108,1,1.0,REC00219_REC00222,0.9999999836120786,1.0,AUTO_MERGE
REC00159,REC00411,526f8b59,f878be27,0,0.8109,REC00159_REC00411,0.0,0.3244,KEEP_SEPARATE
REC00134,REC00135,862781a0,862781a0,1,0.9775,REC00134_REC00135,0.9997483924577089,0.9908,AUTO_MERGE
REC00107,REC00436,0ca37c4a,81a4e285,0,0.8239,REC00107_REC00436,0.0,0.3296,KEEP_SEPARATE
REC00028,REC00030,93f3392b,93f3392b,1,0.7749,REC00028_REC00030,0.9514530883162187,0.8808,LLM_REVIEW
REC00101,REC00125,6fd09bcc,04d2ce15,0,0.7268,REC00101_REC00125,0.0,0.2907,KEEP_SEPARATE
REC00058,REC00265,890a2409,2c1e48e2,0,0.6721,REC00058_REC00265,0.0,0.2688,KEEP_SEPARATE
REC00260,REC00261,b1917b7f,b1917b7f,1,0.9531,REC00260_REC00261,0.9999992316688973,0.9812,AUTO_MERGE
REC00122,REC00490,5217f2f0,0681d3ab,0,0.7302,REC00122_REC00490,0.0,0.2921,KEEP_SEPARATE
REC00357,REC00358,c6e4d4b4,c6e4d4b4,1,1.0,REC00357_REC00358,0.9999999938545294,1.0,AUTO_MERGE
REC00255,REC00277,470debc5,f10919eb,0,0.496,REC00255_REC00277,0.0,0.1984,KEEP_SEPARATE
REC00231,REC00233,3f6e7f67,3f6e7f67,1,0.9886,REC00231_REC00233,0.9999992316688973,0.9954,AUTO_MERGE
REC00131,REC00132,705a43fe,705a43fe,1,0.9768,REC00131_REC00132,0.9997483924577089,0.9906,AUTO_MERGE
REC00160,REC00408,526f8b59,a8d6c0ca,0,0.7075,REC00160_REC00408,0.0,0.283,KEEP_SEPARATE
REC00146,REC00147,29927e4a,29927e4a,1,0.9841,REC00146_REC00147,0.9997483924577089,0.9935,AUTO_MERGE
REC00185,REC00418,9a7c5a64,35fa64e8,0,0.7844,REC00185_REC00418,0.0,0.3138,KEEP_SEPARATE
REC00021,REC00022,320a2e9c,320a2e9c,1,0.8188,REC00021_REC00022,0.9729213219516525,0.9113,LLM_REVIEW
REC00034,REC00378,c05b71f2,d9cc2331,0,0.6901,REC00034_REC00378,0.0,0.276,KEEP_SEPARATE
REC00219,REC00372,3ab28108,e501dc73,0,0.8816,REC00219_REC00372,0.0,0.3526,KEEP_SEPARATE
REC00102,REC00498,6fd09bcc,a40a921a,0,0.8156,REC00102_REC00498,0.0,0.3262,KEEP_SEPARATE
REC00030,REC00281,93f3392b,5601e2e3,0,0.8326,REC00030_REC00281,0.0,0.333,KEEP_SEPARATE
REC00155,REC00156,952022d4,952022d4,1,0.9522,REC00155_REC00156,0.9997483924577089,0.9807,AUTO_MERGE
REC00115,REC00278,f8c400df,41c09d34,0,0.6897,REC00115_REC00278,0.0,0.2759,KEEP_SEPARATE
REC00447,REC00480,e907fe50,7f72426f,0,0.914,REC00447_REC00480,0.0,0.3656,KEEP_SEPARATE
REC00071,REC00200,73d3c316,2f145e59,0,0.8408,REC00071_REC00200,0.0,0.3363,KEEP_SEPARATE
REC00080,REC00425,09b4f7da,bd503f5d,0,0.6939,REC00080_REC00425,0.0,0.2776,KEEP_SEPARATE
REC00081,REC00454,09b4f7da,4766ebcf,0,0.7398,REC00081_REC00454,0.0,0.2959,KEEP_SEPARATE
REC00350,REC00366,33156aa0,ab5a37f3,0,0.8677,REC00350_REC00366,0.0,0.3471,KEEP_SEPARATE
REC00199,REC00501,2f145e59,f62a77f3,0,0.7819,REC00199_REC00501,0.0,0.3128,KEEP_SEPARATE
REC00425,REC00471,bd503f5d,5b09ff21,0,0.7679,REC00425_REC00471,0.0,0.3072,KEEP_SEPARATE
REC00244,REC00245,dad98f26,dad98f26,1,0.9829,REC00244_REC00245,0.9999992316688973,0.9932,AUTO_MERGE
REC00282,REC00375,e53b0158,8d31fb99,0,0.7108,REC00282_REC00375,0.0,0.2843,KEEP_SEPARATE
REC00104,REC00362,674ba110,23198577,0,0.8919,REC00104_REC00362,0.0,0.3568,KEEP_SEPARATE
REC00264,REC00411,2c1e48e2,f878be27,0,0.7562,REC00264_REC00411,0.0,0.3025,KEEP_SEPARATE
REC00247,REC00249,7278bd49,7278bd49,1,0.9955,REC00247_REC00249,0.9999992316688973,0.9982,AUTO_MERGE
REC00058,REC00263,890a2409,2c1e48e2,0,0.6786,REC00058_REC00263,0.0,0.2714,KEEP_SEPARATE
REC00004,REC00448,06093853,4cd8c4e5,0,0.7435,REC00004_REC00448,0.0,0.2974,KEEP_SEPARATE
REC00188,REC00189,3270c37b,3270c37b,1,0.9269,REC00188_REC00189,0.9997483924577089,0.9706,AUTO_MERGE
REC00290,REC00291,1fb0efd0,c563f693,0,0.7985,REC00290_REC00291,0.0,0.3194,KEEP_SEPARATE
REC00083,REC00084,1976f586,1976f586,1,0.8197,REC00083_REC00084,0.9999995678136094,0.9279,LLM_REVIEW
REC00154,REC00255,b280c279,470debc5,0,0.59,REC00154_REC00255,0.0,0.236,KEEP_SEPARATE
REC00111,REC00277,0bb60a42,f10919eb,0,0.6301,REC00111_REC00277,0.0,0.252,KEEP_SEPARATE
REC00364,REC00381,2505fb80,9e9adf8d,0,0.8178,REC00364_REC00381,0.0,0.3271,KEEP_SEPARATE
REC00203,REC00205,9d89a813,9d89a813,1,0.9493,REC00203_REC00205,0.9999992316688973,0.9797,AUTO_MERGE
REC00186,REC00418,9a7c5a64,35fa64e8,0,0.7763,REC00186_REC00418,0.0,0.3105,KEEP_SEPARATE
REC00029,REC00282,93f3392b,e53b0158,0,0.7571,REC00029_REC00282,0.0,0.3028,KEEP_SEPARATE
REC00104,REC00459,674ba110,f9b9dcc2,0,0.8684,REC00104_REC00459,0.0,0.3474,KEEP_SEPARATE
REC00147,REC00148,29927e4a,29927e4a,1,0.9814,REC00147_REC00148,0.9997483924577089,0.9924,AUTO_MERGE
REC00349,REC00350,33156aa0,33156aa0,1,1.0,REC00349_REC00350,0.9999999938545294,1.0,AUTO_MERGE
REC00152,REC00153,b280c279,b280c279,1,0.9858,REC00152_REC00153,0.9997483924577089,0.9942,AUTO_MERGE
REC00034,REC00035,c05b71f2,c05b71f2,1,0.9029,REC00034_REC00035,0.9514530883162187,0.932,LLM_REVIEW
REC00371,REC00372,e501dc73,e501dc73,1,1.0,REC00371_REC00372,0.9999999959030196,1.0,AUTO_MERGE
REC00196,REC00197,14a29624,14a29624,1,0.9503,REC00196_REC00197,0.9999992316688973,0.9801,AUTO_MERGE
REC00192,REC00194,92a8c207,92a8c207,1,0.9934,REC00192_REC00194,0.9999992316688973,0.9974,AUTO_MERGE
REC00163,REC00285,1a5a8d11,53de962b,0,0.7,REC00163_REC00285,0.0,0.28,KEEP_SEPARATE
REC00282,REC00283,e53b0158,2664b674,0,0.7516,REC00282_REC00283,0.0,0.3006,KEEP_SEPARATE
REC00101,REC00144,6fd09bcc,35dcb509,0,0.7217,REC00101_REC00144,0.0,0.2887,KEEP_SEPARATE
REC00256,REC00277,470debc5,f10919eb,0,0.5114,REC00256_REC00277,0.0,0.2046,KEEP_SEPARATE
REC00006,REC00338,06093853,bcad6057,0,0.6751,REC00006_REC00338,0.0,0.27,KEEP_SEPARATE
REC00045,REC00046,18ed0618,18ed0618,1,0.8188,REC00045_REC00046,0.9999995678136094,0.9275,LLM_REVIEW
REC00099,REC00448,69958d9c,4cd8c4e5,0,0.7295,REC00099_REC00448,0.0,0.2918,KEEP_SEPARATE
REC00107,REC00108,0ca37c4a,0ca37c4a,1,0.959,REC00107_REC00108,0.9993190539568642,0.9832,AUTO_MERGE
REC00004,REC00007,06093853,06093853,1,0.9213,REC00004_REC00007,0.9514530883162187,0.9394,LLM_REVIEW
REC00279,REC00389,e11bccae,c7921fb5,0,0.68,REC00279_REC00389,0.0,0.272,KEEP_SEPARATE
REC00190,REC00354,3270c37b,0ee9817e,0,0.5863,REC00190_REC00354,0.0,0.2345,KEEP_SEPARATE
REC00215,REC00218,dbb0963b,dbb0963b,1,0.9902,REC00215_REC00218,0.9999992316688973,0.9961,AUTO_MERGE
REC00079,REC00425,09b4f7da,bd503f5d,0,0.7182,REC00079_REC00425,0.0,0.2873,KEEP_SEPARATE
REC00116,REC00280,f8c400df,dbd15e04,0,0.8089,REC00116_REC00280,0.0,0.3236,KEEP_SEPARATE
REC00339,REC00340,a1809850,a1809850,1,1.0,REC00339_REC00340,0.9999999959030196,1.0,AUTO_MERGE
REC00025,REC00027,9cb8e085,9cb8e085,1,0.7386,REC00025_REC00027,0.9514530883162187,0.8663,LLM_REVIEW
REC00139,REC00157,9f3ddedd,952022d4,0,0.8229,REC00139_REC00157,0.0,0.3292,KEEP_SEPARATE
REC00122,REC00386,5217f2f0,1772f5f2,0,0.8463,REC00122_REC00386,0.0,0.3385,KEEP_SEPARATE
REC00227,REC00271,7700fe54,6f1246e8,0,0.7602,REC00227_REC00271,0.0,0.3041,KEEP_SEPARATE
REC00160,REC00265,526f8b59,2c1e48e2,0,0.7845,REC00160_REC00265,0.0,0.3138,KEEP_SEPARATE
REC00243,REC00244,dad98f26,dad98f26,1,0.9938,REC00243_REC00244,0.9999992316688973,0.9975,AUTO_MERGE
REC00140,REC00479,e2acc578,98ae74e1,0,0.7986,REC00140_REC00479,0.0,0.3194,KEEP_SEPARATE
REC00218,REC00484,dbb0963b,ec78a5f8,0,0.8694,REC00218_REC00484,0.0,0.3478,KEEP_SEPARATE
REC00179,REC00181,ba5fa866,ba5fa866,1,0.9649,REC00179_REC00181,0.9999761133654689,0.9859,AUTO_MERGE
REC00332,REC00333,7cf6d4be,74e6294d,0,0.8991,REC00332_REC00333,0.0,0.3596,KEEP_SEPARATE
REC00415,REC00432,c3df55e1,08d16607,0,0.791,REC00415_REC00432,0.0,0.3164,KEEP_SEPARATE
REC00112,REC00154,0bb60a42,b280c279,0,0.7576,REC00112_REC00154,0.0,0.303,KEEP_SEPARATE
REC00007,REC00434,06093853,e810e9af,0,0.6641,REC00007_REC00434,0.0,0.2656,KEEP_SEPARATE
REC00123,REC00438,aa918b5b,ee30e678,0,0.7194,REC00123_REC00438,0.0,0.2878,KEEP_SEPARATE
REC00077,REC00078,6a742391,6a742391,1,0.8235,REC00077_REC00078,0.9999995678136094,0.9294,LLM_REVIEW
REC00101,REC00498,6fd09bcc,a40a921a,0,0.8223,REC00101_REC00498,0.0,0.3289,KEEP_SEPARATE
REC00309,REC00310,ebd43e2d,b6f660e3,0,0.9063,REC00309_REC00310,0.0,0.3625,KEEP_SEPARATE
REC00160,REC00411,526f8b59,f878be27,0,0.8498,REC00160_REC00411,0.0,0.3399,KEEP_SEPARATE
REC00247,REC00248,7278bd49,7278bd49,1,1.0,REC00247_REC00248,0.9999999836120786,1.0,AUTO_MERGE
REC00228,REC00230,7700fe54,7700fe54,1,0.9475,REC00228_REC00230,0.9999992316688973,0.979,AUTO_MERGE
REC00004,REC00099,06093853,69958d9c,0,0.977,REC00004_REC00099,0.0,0.3908,KEEP_SEPARATE
REC00016,REC00271,3f5b2c93,6f1246e8,0,0.7947,REC00016_REC00271,0.0,0.3179,KEEP_SEPARATE
REC00146,REC00148,29927e4a,29927e4a,1,0.9892,REC00146_REC00148,0.9999761133654689,0.9957,AUTO_MERGE
REC00237,REC00238,f693dac2,f693dac2,1,0.9405,REC00237_REC00238,0.9999992316688973,0.9762,AUTO_MERGE
REC00029,REC00420,93f3392b,27c3070c,0,0.7103,REC00029_REC00420,0.0,0.2841,KEEP_SEPARATE
REC00191,REC00431,92a8c207,909d7d35,0,0.7594,REC00191_REC00431,0.0,0.3038,KEEP_SEPARATE
REC00153,REC00276,b280c279,9ab83f99,0,0.7608,REC00153_REC00276,0.0,0.3043,KEEP_SEPARATE
REC00141,REC00479,e2acc578,98ae74e1,0,0.7378,REC00141_REC00479,0.0,0.2951,KEEP_SEPARATE
REC00212,REC00214,957fe149,957fe149,1,1.0,REC00212_REC00214,0.9999999836120786,1.0,AUTO_MERGE
REC00145,REC00358,35dcb509,c6e4d4b4,0,0.716,REC00145_REC00358,0.0,0.2864,KEEP_SEPARATE
REC00127,REC00446,4faa03f8,2a8b3224,0,0.75,REC00127_REC00446,0.0,0.3,KEEP_SEPARATE
REC00152,REC00256,b280c279,470debc5,0,0.6101,REC00152_REC00256,0.0,0.244,KEEP_SEPARATE
REC00149,REC00230,652786fd,7700fe54,0,0.8133,REC00149_REC00230,0.0,0.3253,KEEP_SEPARATE
REC00149,REC00151,652786fd,652786fd,1,0.9797,REC00149_REC00151,0.9999761133654689,0.9919,AUTO_MERGE
REC00343,REC00344,d1703276,d1703276,1,1.0,REC00343_REC00344,0.9999999959030196,1.0,AUTO_MERGE
REC00136,REC00429,862781a0,cef5fc37,0,0.8449,REC00136_REC00429,0.0,0.338,KEEP_SEPARATE
REC00397,REC00479,245d4931,98ae74e1,0,0.8133,REC00397_REC00479,0.0,0.3253,KEEP_SEPARATE
REC00089,REC00090,fbcca6e5,fbcca6e5,1,0.834,REC00089_REC00090,0.9999998079171136,0.9336,LLM_REVIEW
REC00205,REC00269,9d89a813,0b826893,0,0.8317,REC00205_REC00269,0.0,0.3327,KEEP_SEPARATE
REC00280,REC00389,dbd15e04,c7921fb5,0,0.6631,REC00280_REC00389,0.0,0.2652,KEEP_SEPARATE
REC00040,REC00041,354453fa,354453fa,1,0.796,REC00040_REC00041,0.9999995678136094,0.9184,LLM_REVIEW
REC00254,REC00351,0536a971,c6fd6583,0,0.8255,REC00254_REC00351,0.0,0.3302,KEEP_SEPARATE
REC00297,REC00298,2793ecf7,53ad53f6,0,0.7142,REC00297_REC00298,0.0,0.2857,KEEP_SEPARATE
REC00305,REC00306,d993836e,faf2089c,0,0.805,REC00305_REC00306,0.0,0.322,KEEP_SEPARATE
REC00036,REC00084,9f3737b4,1976f586,0,0.8042,REC00036_REC00084,0.0,0.3217,KEEP_SEPARATE
REC00205,REC00267,9d89a813,0b826893,0,0.8317,REC00205_REC00267,0.0,0.3327,KEEP_SEPARATE
REC00347,REC00429,bbdfca38,cef5fc37,0,0.6579,REC00347_REC00429,0.0,0.2632,KEEP_SEPARATE
REC00029,REC00281,93f3392b,5601e2e3,0,0.8265,REC00029_REC00281,0.0,0.3306,KEEP_SEPARATE
REC00028,REC00031,93f3392b,93f3392b,1,0.791,REC00028_REC00031,0.9514530883162187,0.8873,LLM_REVIEW
REC00071,REC00072,73d3c316,73d3c316,1,0.8704,REC00071_REC00072,0.9999995678136094,0.9482,LLM_REVIEW
REC00182,REC00183,2bfd4d1b,2bfd4d1b,1,0.9575,REC00182_REC00183,0.9997483924577089,0.9828,AUTO_MERGE
REC00056,REC00160,890a2409,526f8b59,0,0.4863,REC00056_REC00160,0.0,0.1945,KEEP_SEPARATE
REC00283,REC00375,2664b674,8d31fb99,0,0.7678,REC00283_REC00375,0.0,0.3071,KEEP_SEPARATE
REC00337,REC00434,bcad6057,e810e9af,0,0.9933,REC00337_REC00434,0.0,0.3973,KEEP_SEPARATE
REC00406,REC00414,5ccdfad1,565bc5e9,0,0.8166,REC00406_REC00414,0.0,0.3266,KEEP_SEPARATE
REC00209,REC00486,2fef3194,b8039f1b,0,0.8043,REC00209_REC00486,0.0,0.3217,KEEP_SEPARATE
REC00013,REC00471,7efcda5f,5b09ff21,0,0.6537,REC00013_REC00471,0.0,0.2615,KEEP_SEPARATE
REC00357,REC00498,c6e4d4b4,a40a921a,0,0.8408,REC00357_REC00498,0.0,0.3363,KEEP_SEPARATE
REC00006,REC00007,06093853,06093853,1,0.8947,REC00006_REC00007,0.9996539833713629,0.9577,AUTO_MERGE
REC00039,REC00084,9f3737b4,1976f586,0,0.5392,REC00039_REC00084,0.0,0.2157,KEEP_SEPARATE
REC00148,REC00274,29927e4a,c2844325,0,0.7395,REC00148_REC00274,0.0,0.2958,KEEP_SEPARATE
REC00228,REC00229,7700fe54,7700fe54,1,1.0,REC00228_REC00229,0.9999999836120786,1.0,AUTO_MERGE
REC00009,REC00011,1505862c,1505862c,1,0.8331,REC00009_REC00011,0.9729213219516525,0.917,LLM_REVIEW
REC00276,REC00277,9ab83f99,f10919eb,0,0.8889,REC00276_REC00277,0.0,0.3556,KEEP_SEPARATE
REC00152,REC00257,b280c279,470debc5,0,0.6101,REC00152_REC00257,0.0,0.244,KEEP_SEPARATE
REC00001,REC00003,a5eaf10f,a5eaf10f,1,0.8119,REC00001_REC00003,0.9995339220987018,0.9245,LLM_REVIEW
REC00356,REC00466,a8230180,fc31ea03,0,0.7405,REC00356_REC00466,0.0,0.2962,KEEP_SEPARATE
REC00422,REC00490,66356026,0681d3ab,0,0.758,REC00422_REC00490,0.0,0.3032,KEEP_SEPARATE
REC00224,REC00225,a66dc66f,a66dc66f,1,1.0,REC00224_REC00225,0.9999999754181182,1.0,AUTO_MERGE
REC00126,REC00357,04d2ce15,c6e4d4b4,0,0.6953,REC00126_REC00357,0.0,0.2781,KEEP_SEPARATE
REC00229,REC00273,7700fe54,0d30aa3a,0,0.85,REC00229_REC00273,0.0,0.34,KEEP_SEPARATE
REC00115,REC00280,f8c400df,dbd15e04,0,0.8824,REC00115_REC00280,0.0,0.353,KEEP_SEPARATE
REC00149,REC00229,652786fd,7700fe54,0,0.7928,REC00149_REC00229,0.0,0.3171,KEEP_SEPARATE
REC00169,REC00268,3a87bc74,0b826893,0,0.6576,REC00169_REC00268,0.0,0.263,KEEP_SEPARATE
REC00253,REC00352,0536a971,c6fd6583,0,0.8253,REC00253_REC00352,0.0,0.3301,KEEP_SEPARATE
REC00017,REC00271,3f5b2c93,6f1246e8,0,0.7249,REC00017_REC00271,0.0,0.29,KEEP_SEPARATE
REC00329,REC00331,8b89f1b6,4ffdcfd0,0,0.8264,REC00329_REC00331,0.0,0.3306,KEEP_SEPARATE
REC00138,REC00156,9f3ddedd,952022d4,0,0.8623,REC00138_REC00156,0.0,0.3449,KEEP_SEPARATE
REC00151,REC00271,652786fd,6f1246e8,0,0.7172,REC00151_REC00271,0.0,0.2869,KEEP_SEPARATE
REC00006,REC00441,06093853,99fbb112,0,0.6806,REC00006_REC00441,0.0,0.2722,KEEP_SEPARATE
REC00219,REC00221,3ab28108,3ab28108,1,0.9735,REC00219_REC00221,0.9999992316688973,0.9894,AUTO_MERGE
REC00140,REC00397,e2acc578,245d4931,0,0.8202,REC00140_REC00397,0.0,0.3281,KEEP_SEPARATE
REC00366,REC00470,ab5a37f3,2e3646d3,0,0.8983,REC00366_REC00470,0.0,0.3593,KEEP_SEPARATE
REC00018,REC00150,3f5b2c93,652786fd,0,0.7447,REC00018_REC00150,0.0,0.2979,KEEP_SEPARATE
REC00147,REC00275,29927e4a,763c2d0e,0,0.6555,REC00147_REC00275,0.0,0.2622,KEEP_SEPARATE
REC00252,REC00352,0536a971,c6fd6583,0,0.8415,REC00252_REC00352,0.0,0.3366,KEEP_SEPARATE
REC00278,REC00279,41c09d34,e11bccae,0,0.8829,REC00278_REC00279,0.0,0.3532,KEEP_SEPARATE
REC00440,REC00486,101c3db2,b8039f1b,0,0.7025,REC00440_REC00486,0.0,0.281,KEEP_SEPARATE
REC00012,REC00079,7efcda5f,09b4f7da,0,0.7923,REC00012_REC00079,0.0,0.3169,KEEP_SEPARATE
REC00082,REC00083,1976f586,1976f586,1,0.8191,REC00082_REC00083,0.9999995678136094,0.9276,LLM_REVIEW
REC00236,REC00473,f693dac2,f59e5278,0,0.9524,REC00236_REC00473,0.0,0.381,KEEP_SEPARATE
REC00057,REC00264,890a2409,2c1e48e2,0,0.5005,REC00057_REC00264,0.0,0.2002,KEEP_SEPARATE
REC00161,REC00285,1a5a8d11,53de962b,0,0.6957,REC00161_REC00285,0.0,0.2783,KEEP_SEPARATE
REC00269,REC00413,0b826893,bef634c3,0,0.6918,REC00269_REC00413,0.0,0.2767,KEEP_SEPARATE
REC00289,REC00291,449b56bf,c563f693,0,0.8926,REC00289_REC00291,0.0,0.357,KEEP_SEPARATE
REC00057,REC00408,890a2409,a8d6c0ca,0,0.5134,REC00057_REC00408,0.0,0.2054,KEEP_SEPARATE
REC00251,REC00252,0536a971,0536a971,1,0.9934,REC00251_REC00252,0.9999992316688973,0.9974,AUTO_MERGE
REC00102,REC00343,6fd09bcc,d1703276,0,0.7848,REC00102_REC00343,0.0,0.3139,KEEP_SEPARATE
REC00012,REC00013,7efcda5f,7efcda5f,1,0.8911,REC00012_REC00013,0.9729213219516525,0.9402,LLM_REVIEW
REC00206,REC00270,9d89a813,0b826893,0,0.7876,REC00206_REC00270,0.0,0.315,KEEP_SEPARATE
REC00126,REC00143,04d2ce15,35dcb509,0,0.8371,REC00126_REC00143,0.0,0.3348,KEEP_SEPARATE
REC00463,REC00493,a7443fd6,14196cae,0,0.7776,REC00463_REC00493,0.0,0.311,KEEP_SEPARATE
REC00185,REC00186,9a7c5a64,9a7c5a64,1,0.9681,REC00185_REC00186,0.9997483924577089,0.9871,AUTO_MERGE
REC00207,REC00486,2fef3194,b8039f1b,0,0.8903,REC00207_REC00486,0.0,0.3561,KEEP_SEPARATE
REC00177,REC00289,4268ac48,449b56bf,0,0.4685,REC00177_REC00289,0.0,0.1874,KEEP_SEPARATE
REC00093,REC00254,c633550d,0536a971,0,0.8504,REC00093_REC00254,0.0,0.3402,KEEP_SEPARATE
REC00263,REC00266,2c1e48e2,2c1e48e2,1,0.9476,REC00263_REC00266,0.9999992316688973,0.979,AUTO_MERGE
REC00032,REC00378,c05b71f2,d9cc2331,0,0.8325,REC00032_REC00378,0.0,0.333,KEEP_SEPARATE
